,t [s],collide,terminated,x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi [rad],r_angvelo [rad/s],hat_x_position_mid [m],hat_u_velo [m/s],hat_y_position_mid [m],hat_vm_velo [m/s],hat_psi [rad],hat_r_angvelo [rad/s],delta_rudder [rad],n_prop [rps],true_wind_speed [m/s],true_wind_direction [rad],hat_delta_rudder [rad],cmd_delta_rudder [rad],hat_n_prop [rps],cmd_n_prop [rps],hat_true_wind_speed [m/s],hat_true_wind_direction [rad]
3109,310.90000000000214,1.0,1.0,86.61511540197199,0.33481355511715116,31.44698575785668,-0.012485978040464009,0.5176040347293894,0.007371879917685216,86.56668699312306,0.32816253777781107,31.429485766550066,-0.022853090884472425,0.5194246247993816,0.007874084752894481,-0.005148742498899628,10.0,0.5375202309235638,1.806244670007571,-0.005148742498899628,-0.005148742498899628,10.0,10.0,0.5375202309235638,1.806244670007571
3110,311.00000000000216,1.0,1.0,86.64482874632122,0.3348950153491239,31.462467273640424,-0.012463158316375794,0.5183412227211581,0.007345839775284052,86.66160586005901,0.34188857998721855,31.45664929557077,-0.014079268181275419,0.517134274430852,0.0048809330154876715,-0.005148742498899628,10.0,0.5362753640574006,1.8158324188527073,-0.005148742498899628,-0.005148742498899628,10.0,10.0,0.5362753640574006,1.8158324188527073
3111,311.1000000000022,1.0,1.0,86.6745366152094,0.33497657796517977,31.47797670761889,-0.01244027167312774,0.5190758066986867,0.007320389264214518,86.69333257158159,0.325361199519629,31.496741719332853,-0.021914187619406958,0.517364986173541,0.00681927563240709,-0.005148742498899628,10.0,0.5406201995851545,1.803912667779345,-0.005148742498899628,-0.005148742498899628,10.0,10.0,0.5406201995851545,1.803912667779345
3112,311.2000000000022,1.0,1.0,86.70423902964845,0.33505787028992096,31.493513993673343,-0.012417771391490123,0.5198078456251083,0.007295016509550698,86.67385874917308,0.33344639737599546,31.51903775132808,-0.029824750811732772,0.5188158470811537,0.005814734879705977,-0.005148742498899628,10.0,0.5359529346993777,1.8122710694084685,-0.005148742498899628,-0.005148742498899628,10.0,10.0,0.5359529346993777,1.8122710694084685
3113,311.3000000000022,1.0,1.0,86.73393600009263,0.3351393065450703,31.509079009617235,-0.01239493526667633,0.5205373472760635,0.007270300877295479,86.74900212070895,0.32692266005129855,31.523577043500794,-0.00376111184639279,0.5185899029970522,0.00435994790887523,-0.005148742498899628,10.0,0.5312007522522862,1.8297185972286918,-0.005148742498899628,-0.005148742498899628,10.0,10.0,0.5312007522522862,1.8297185972286918
3114,311.40000000000225,1.0,1.0,86.76362753720367,0.33522099813397016,31.52467171676196,-0.012371757677833065,0.5212643773637932,0.007246356273470929,86.80843484747277,0.3356981245074381,31.510088856110166,-0.026978654730641524,0.5208647650311804,0.00833739967337243,-0.005148742498899628,10.0,0.531695136201217,1.8299646001419367,-0.005148742498899628,-0.005148742498899628,10.0,10.0,0.531695136201217,1.8299646001419367
3115,311.5000000000023,1.0,1.0,86.79331366012569,0.33530263762191437,31.540292084415732,-0.012348670781549498,0.5219890129911404,0.007222741700476326,86.83457775456039,0.3380127291261576,31.521659268970126,-0.020289740509289368,0.518764172438667,0.007128198736193564,-0.005148742498899628,10.0,0.5322951566147243,1.842871924430031,-0.005148742498899628,-0.005148742498899628,10.0,10.0,0.5322951566147243,1.842871924430031
3116,311.6000000000023,1.0,1.0,86.82299438180385,0.33538438249592223,31.555940031416114,-0.012325669388018568,0.5227112871611882,0.007199643593457687,86.84055377082731,0.3378680293392071,31.59514180824187,-0.011329872109593192,0.5228002124519469,0.006661106649899005,-0.005148742498899628,10.0,0.5248714842518621,1.8699822038741372,-0.005148742498899628,-0.005148742498899628,10.0,10.0,0.5248714842518621,1.8699822038741372
3117,311.7000000000023,1.0,1.0,86.85266972827013,0.3354665326533354,31.57161548590992,-0.012302093588616406,0.5234312515205342,0.007177489595483094,86.8572713296272,0.3340965352806887,31.590142785047853,-0.026287439466552074,0.5238025108579701,0.007599193976187301,-0.005148742498899628,10.0,0.5156524131374742,1.8576822704800813,-0.005148742498899628,-0.005148742498899628,10.0,10.0,0.5156524131374742,1.8576822704800813
3118,311.80000000000234,1.0,1.0,86.88233971793015,0.3355486182361154,31.587318449768556,-0.012277903829672811,0.5241490004800826,0.007155665901606606,86.84583834700109,0.3432679739730796,31.59518652832177,-0.00882324547048485,0.5211185297384937,0.005354129978334358,-0.005148742498899628,10.0,0.5190772051569766,1.8634644060728915,-0.005148742498899628,-0.005148742498899628,10.0,10.0,0.5190772051569766,1.8634644060728915
3119,311.90000000000236,1.0,1.0,86.91200432508295,0.3356306702371524,31.60304890760351,-0.012254041595878791,0.5248645670702434,0.007134103919568502,86.85514359931385,0.3481658175275953,31.655762005768857,-0.02470379080219723,0.526210319715315,0.007038547740669212,-0.005148742498899628,10.0,0.5203089879443058,1.8671153980920374,-0.005148742498899628,-0.005148742498899628,10.0,10.0,0.5203089879443058,1.8671153980920374
3120,312.0000000000024,1.0,1.0,86.94166357343843,0.3357126950881783,31.618806765020715,-0.012230341526419861,0.5255779774622005,0.007112826911385853,86.93888117922303,0.34934601305070934,31.616031093380453,-0.004200293502347182,0.523254957474615,0.004497525832043325,-0.005148742498899628,10.0,0.5191371593513988,1.8550348637461351,-0.005148742498899628,-0.005148742498899628,10.0,10.0,0.5191371593513988,1.8550348637461351
3121,312.1000000000024,1.0,1.0,86.97131747879398,0.33579453527158076,31.63459194307283,-0.012206650247950385,0.5262892601533392,0.007091650154460625,86.96637006609545,0.34135668842148664,31.583825151876294,-0.00523874905091075,0.5254941080447756,0.005664947625511521,-0.005148742498899628,10.0,0.5207615105853534,1.863621719821948,-0.005148742498899628,-0.005148742498899628,10.0,10.0,0.5207615105853534,1.863621719821948
