,t [s],collide,terminated,x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi [rad],r_angvelo [rad/s],hat_x_position_mid [m],hat_u_velo [m/s],hat_y_position_mid [m],hat_vm_velo [m/s],hat_psi [rad],hat_r_angvelo [rad/s],delta_rudder [rad],n_prop [rps],true_wind_speed [m/s],true_wind_direction [rad],hat_delta_rudder [rad],cmd_delta_rudder [rad],hat_n_prop [rps],cmd_n_prop [rps]
2883,288.299999999997,1.0,1.0,85.4586736850742,0.3082290638331296,-9.40519594222053,0.01983074190037472,-0.7483686272274844,-0.00572040131262604,85.4723260829454,0.29085303913354565,-9.413522734016377,0.023174240146081476,-0.7485602884706828,-0.005741307865468832,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2884,288.399999999997,1.0,1.0,85.48261007916355,0.3083104528609973,-9.424716013407831,0.019562265180429635,-0.7489406673587472,-0.005476716145818804,85.46922838308494,0.3094394877688605,-9.396963742053952,0.024664259559264212,-0.7495849880884301,-0.009757089486092175,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2885,288.49999999999704,1.0,1.0,85.50652298449737,0.308393373060478,-9.444274978976592,0.019295174085378296,-0.7494883389733292,-0.005237010456318443,85.48850113788386,0.30731917437707007,-9.421244279366165,0.04806107046314338,-0.747624602148509,-0.0037353415788679155,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2886,288.59999999999707,1.0,1.0,85.53041304846245,0.3084777798105403,-9.463872239158837,0.019029436593377004,-0.7500120400189612,-0.005001154538968709,85.54179925047768,0.3085309956557536,-9.436437044841714,-0.0017261844965257046,-0.7512002375575638,-0.004300977533311613,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2887,288.6999999999971,1.0,1.0,85.5542809079934,0.30856362987452435,-9.483507204968594,0.018765021841097882,-0.7505121554728581,-0.004769023064251187,85.55955352452884,0.31881250305051656,-9.540026145967058,0.019281274138683965,-0.750618236373767,-0.0024664920243999975,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2888,288.7999999999971,1.0,1.0,85.57812718990513,0.30865088134502955,-9.503179297796947,0.01850190005088435,-0.7509890577792834,-0.004540494915568356,85.66006495413309,0.30600531432611283,-9.469169596727674,0.002074698843012198,-0.7491510883638958,-0.005741518754155341,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2889,288.89999999999714,1.0,1.0,85.60195251121259,0.3087394935912766,-9.52288794902433,0.01824004246263121,-0.7514431072708403,-0.004315453033014056,85.60506468232559,0.31844828359467225,-9.483042237753518,0.01500323673081605,-0.7547211050846946,-0.003723844720755946,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2890,288.99999999999716,1.0,1.0,85.62575747943816,0.3088294272088151,-9.542632599649242,0.01797942127007432,-0.7518746525741418,-0.004093784263341478,85.63262882939402,0.3337039465526085,-9.574772309852037,0.005113561534666414,-0.7487860940721707,-0.0009131368131469445,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2891,289.0999999999972,1.0,1.0,85.6495426929074,0.3089206439714564,-9.562412699932523,0.017720009561196362,-0.752284031000476,-0.0038753792158538075,85.63601434727443,0.2907694158142736,-9.496722543926913,0.011872353373112977,-0.7522592533201312,-0.00374047079016886,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2892,289.1999999999972,1.0,1.0,85.67330874103337,0.3090131067853179,-9.582227709056438,0.017461781262475,-0.7526715689220616,-0.003660132123956716,85.67980888323375,0.3064508742233775,-9.57158597017328,0.010281326339763676,-0.7535236543887031,0.001686200066018388,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2893,289.2999999999972,1.0,1.0,85.69705620459034,0.30910677964487243,-9.60207709479783,0.01720471108671834,-0.7530375821344573,-0.0034479407121251098,85.74823107961154,0.30740051564759135,-9.572467781958686,0.04273835105026552,-0.7544631194392296,-0.003228713114039119,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2894,289.39999999999725,0.0,1.0,85.72078565597718,0.30920162759090125,-9.621960333214648,0.016948774484249796,-0.7533823762056698,-0.0032387060680489905,85.76186847697396,0.2953777892552746,-9.630281806544835,0.017298104999704227,-0.7553390790675297,-0.001983110516073894,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2895,289.49999999999727,1.0,1.0,85.74449765947084,0.3092976166702571,-9.64187690834521,0.016693947597220506,-0.7537062468124748,-0.0030323325197349526,85.79807172664177,0.30338786067415274,-9.642307451534602,0.01624200177218615,-0.7533068379932254,-0.0030948283962191447,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2896,289.5999999999973,1.0,1.0,85.76819277147038,0.30939471389734685,-9.66182631191956,0.016440207216842268,-0.7540094800644483,-0.0028287275173508415,85.83094842489893,0.3233651494454091,-9.660321676042367,0.01905499846032958,-0.7581481096976561,-0.0040560569508556995,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2897,289.6999999999973,1.0,1.0,85.79187154073205,0.30949288721724977,-9.681808043082363,0.01618753074334795,-0.7542923528161835,-0.002627801519611462,85.82975495966348,0.3162922231907179,-9.663367403714748,0.015738757230323547,-0.7551000806782441,-0.003108952286767391,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2898,289.79999999999734,1.0,1.0,85.81553450859558,0.3095921054703921,-9.701821608126766,0.015935896148499166,-0.7545551329681447,-0.0024294678845129805,85.91880197167994,0.3081375859048787,-9.663648740247659,0.008562074995432363,-0.7544050805755045,-0.003243687337827812,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2899,289.89999999999736,1.0,1.0,85.83918220920222,0.3096923383587025,-9.72186652023871,0.015685281940472987,-0.7547980797565961,-0.0022336427642328815,85.84812356492782,0.3079362571528629,-9.717278305193288,0.0209279953480924,-0.7552779866707788,-9.40744199136802e-05,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2900,289.9999999999974,1.0,1.0,85.86281516970485,0.309793556413177,-9.741942299251193,0.015435667130970774,-0.7550214440330194,-0.002040245004021021,85.83871219231125,0.3057105527191304,-9.766483497524947,0.015091839238859093,-0.7532496615008207,-0.0019552656856223817,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2901,290.0999999999974,1.0,1.0,85.88643391047037,0.30989573096278666,-9.76204847140803,0.015187031204402514,-0.7552254685334215,-0.0018491960449155268,85.9076148291154,0.3203267231005367,-9.730754250609321,0.0026362812384606218,-0.7537777961026233,-0.0021694468241503883,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2902,290.19999999999743,1.0,1.0,85.91003894527488,0.30999883410466417,-9.78218456913664,0.014939354089009814,-0.7554103881379132,-0.0016604198301250592,85.87797439932127,0.316443956068259,-9.792958645444832,0.03297304752347105,-0.7556585466822424,-0.0051320699766159265,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2903,290.29999999999745,1.0,1.0,85.9336307814917,0.3101028386755092,-9.802350130829472,0.014692616129799753,-0.7555764301209257,-0.0014738427149262679,85.9561050836809,0.3133733564948681,-9.813512554336567,0.010057897579775264,-0.755201615506661,0.0007777784268875034,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2904,290.3999999999975,1.0,1.0,85.9572099202728,0.3102077182241555,-9.822544700633644,0.014446798063170223,-0.7557238143924183,-0.001289393379932222,85.94862689461958,0.297973060061577,-9.790907682958649,0.009084382729922656,-0.7565871019757956,-0.004421276728156461,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2905,290.4999999999975,1.0,1.0,85.98077685672364,0.31031344698524543,-9.842767828248428,0.014201880993115213,-0.7558527537304116,-0.0011070027475941616,85.99293790049055,0.3171544462155075,-9.83686054429965,0.008142336695899897,-0.7577250823870315,0.0018268810142013378,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2906,290.5999999999975,1.0,1.0,86.00433208007186,0.31041999985396124,-9.863019068730225,0.013957846368905884,-0.7559634540051711,-0.0009266039018051363,85.99385189466963,0.31318786179984787,-9.872859405762485,0.017780854965941555,-0.7572876538353102,0.0010090892025296674,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2907,290.69999999999754,1.0,1.0,86.02787607383006,0.31052735236176393,-9.883297982304688,0.013714675964150056,-0.7560561143953516,-0.000748132010479991,86.01396103966705,0.3227731376122797,-9.909312837186661,0.0009164381137304559,-0.7568324492404377,-0.004598858842613143,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2908,290.79999999999757,1.0,1.0,86.05140931595271,0.310635480653094,-9.903604134185665,0.013472351857139136,-0.7561309275963995,-0.0005715242509917546,86.05156947089235,0.3088732885232489,-9.898152253461111,0.00905553778849577,-0.7554008785138637,-0.0033354687137497293,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2909,290.8999999999976,1.0,1.0,86.07493227898773,0.3107443614629899,-9.923937094400666,0.013230856412397459,-0.7561880800214987,-0.0003967197383497853,86.04536364270865,0.29739518199293263,-9.998754584422173,0.023554367351815108,-0.7558649630756672,-0.0011236818784114114,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2910,290.9999999999976,1.0,1.0,86.0984454302227,0.310853972095583,-9.944296437622546,0.012990172263354523,-0.7562277519953338,-0.00022365945601006615,86.04932694766924,0.30931820972936314,-9.960047832793233,0.014207380786973072,-0.7588985692293059,-0.0018644867061276852,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2911,291.09999999999764,1.0,1.0,86.121949231826,0.3109642904034295,-9.964681743007146,0.012750282296065847,-0.7562501179409348,-5.228618921282018e-05,86.0620651192747,0.31056478856602815,-9.952092731518679,0.022510761352969283,-0.7545074975918415,-0.001197287451001146,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2912,291.19999999999766,1.0,1.0,86.14544414098309,0.311075294767641,-9.985092594036624,0.01251116963391292,-0.756255346559856,0.00011745553925283968,86.16981999665198,0.315068277502138,-10.007198831048044,-0.004073963313396713,-0.7555626175380578,-0.0003545364939029511,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2913,291.2999999999977,1.0,1.0,86.16893061002813,0.3111869640787795,-10.005528578368207,0.012272817623217294,-0.7562436010059308,0.0002856195309531923,86.18620504649019,0.32365709873249415,-9.932908590858979,0.022157059547682656,-0.7573351870940194,-0.00011287000749830774,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2914,291.3999999999977,1.0,1.0,86.192409086571,0.311299277718481,-10.025989287688162,0.01203520981970804,-0.7562150390528355,0.0004522579714749867,86.20266368250795,0.30199392487768617,-10.040700698495309,0.017253200396830204,-0.7538487816549158,-0.0015708936661414344,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2915,291.4999999999977,1.0,1.0,86.21588001362014,0.31141221554177706,-10.046474317570727,0.011798329975785728,-0.756169813255688,0.0006174214879392694,86.16859394793839,0.30767672322282014,-10.033799818582484,0.01838751485521913,-0.758116812150826,0.00023069602229166414,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2916,291.59999999999775,1.0,1.0,86.239343829701,0.31152575786008246,-10.066983267341804,0.011562162028529733,-0.756108071106894,0.0007811592044482001,86.24070051629853,0.3216364642095796,-10.064406400146641,-0.0006816919618604245,-0.7582506999391314,0.007122817411203776,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2917,291.6999999999978,1.0,1.0,86.26280096897072,0.31163988542481974,-10.087515739947209,0.011326690088399169,-0.7560299551864492,0.0009435187955455538,86.2252907955561,0.3027498901506095,-10.121848072120901,0.0006292607437422375,-0.7570730531766251,0.0004922935970668677,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2918,291.7999999999978,0.0,1.0,86.28625186132881,0.3117545794116533,-10.108071341825275,0.011091898428580833,-0.7559356033068947,0.0011045465377682324,86.27336678622645,0.3034205328993172,-10.073857715467149,0.006542079574947203,-0.7544517091764411,0.0017278281849284203,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
2919,291.8999999999978,1.0,1.0,86.30969693252408,0.3118698214053057,-10.128649682783628,0.010857771474940655,-0.7558251486531178,0.001264287359362903,86.38797797750533,0.3135270938075417,-10.101150142817986,0.04223763082055082,-0.7568617831563055,0.0016797895531829444,0.34995783125802093,10.0,0.6434929693925198,1.99545790183263,0.34995783125802093,0.34995783125802093,10.0,10.0
